trial_id,sigma_d,rho,phi,theta,seed,C_pc,q_grasp,e_pose,n_grasps,success,obj_z_final,error
249,0.005,1.0,55.0,90.0,249,0.01181,0.20297,0.10822,28,0,0.436,
250,0.005,1.0,55.0,90.0,10250,0.01181,0.20735,0.11646,25,0,0.4602,
251,0.005,1.0,55.0,90.0,20251,0.01181,0.2224,0.11266,25,0,0.455,
252,0.005,1.0,60.0,0.0,252,0.82954,0.2056,0.18589,31,0,0.455,
253,0.005,1.0,60.0,0.0,10253,0.82954,0.17997,0.1705,11,0,0.455,
254,0.005,1.0,60.0,0.0,20254,0.82954,0.18592,0.37145,18,0,0.455,
255,0.005,1.0,60.0,45.0,255,0.00948,0.23543,0.1079,29,0,0.455,
256,0.005,1.0,60.0,45.0,10256,0.00948,0.2547,0.11391,24,0,0.455,
257,0.005,1.0,60.0,45.0,20257,0.00948,0.23469,0.11963,28,0,0.436,
258,0.005,1.0,60.0,90.0,258,0.00971,0.26752,0.08409,37,0,0.436,
259,0.005,1.0,60.0,90.0,10259,0.00971,0.2673,0.08953,33,0,0.436,
260,0.005,1.0,60.0,90.0,20260,0.00971,0.25572,0.08494,28,0,0.436,
261,0.005,1.0,65.0,0.0,261,0.88555,0.18385,0.18755,12,0,0.455,
262,0.005,1.0,65.0,0.0,10262,0.88555,0.19188,0.25612,7,0,0.455,
263,0.005,1.0,65.0,0.0,20263,0.88555,0.1828,0.29792,5,0,0.455,
264,0.005,1.0,65.0,45.0,264,0.00818,0.25216,0.1254,32,0,0.436,
265,0.005,1.0,65.0,45.0,10265,0.00818,0.15576,0.11831,2,0,0.455,
266,0.005,1.0,65.0,45.0,20266,0.00818,0.24977,0.10803,30,0,0.4605,
267,0.005,1.0,65.0,90.0,267,0.00615,0.17479,0.09749,1,0,0.455,
268,0.005,1.0,65.0,90.0,10268,0.00615,0.17454,0.09578,1,0,0.455,
269,0.005,1.0,65.0,90.0,20269,0.00615,0.27548,0.05742,34,0,0.4623,
270,0.005,0.75,30.0,0.0,270,0.00999,0.29382,0.04845,55,1,0.675,
271,0.005,0.75,30.0,0.0,10271,0.00999,0.2938,0.04644,46,1,0.675,
272,0.005,0.75,30.0,0.0,20272,0.00999,0.29385,0.04763,52,1,0.675,
273,0.005,0.75,30.0,45.0,273,0.01426,0.17302,0.10735,7,0,0.455,
274,0.005,0.75,30.0,45.0,10274,0.01426,0.21586,0.10965,16,0,0.455,
275,0.005,0.75,30.0,45.0,20275,0.01426,0.22008,0.10579,17,0,0.455,
276,0.005,0.75,30.0,90.0,276,0.01465,0.20153,0.0372,11,1,0.675,
277,0.005,0.75,30.0,90.0,10277,0.01465,0.20563,0.0741,15,0,0.4588,
278,0.005,0.75,30.0,90.0,20278,0.01465,0.21773,0.10793,17,0,0.455,
279,0.005,0.75,45.0,0.0,279,0.00317,0.28951,0.07194,48,0,0.455,
280,0.005,0.75,45.0,0.0,10280,0.00317,0.2927,0.07614,38,0,0.455,
281,0.005,0.75,45.0,0.0,20281,0.00317,0.29231,0.06986,51,0,0.455,
282,0.005,0.75,45.0,45.0,282,0.01258,0.17301,0.11207,9,0,0.036,
283,0.005,0.75,45.0,45.0,10283,0.01258,0.20674,0.11058,17,0,0.455,
284,0.005,0.75,45.0,45.0,20284,0.01258,0.20157,0.0356,20,1,0.675,
285,0.005,0.75,45.0,90.0,285,0.01355,0.18962,0.05849,15,0,0.436,
286,0.005,0.75,45.0,90.0,10286,0.01355,0.20309,0.10878,19,0,0.455,
287,0.005,0.75,45.0,90.0,20287,0.01355,0.2029,0.10187,14,0,0.4548,
288,0.005,0.75,50.0,0.0,288,0.00063,0.27084,0.08444,15,0,0.455,
289,0.005,0.75,50.0,0.0,10289,0.00063,0.28382,0.08232,15,0,0.4562,
290,0.005,0.75,50.0,0.0,20290,0.00063,0.28287,0.08336,19,0,0.4561,
291,0.005,0.75,50.0,45.0,291,0.01167,0.17613,0.11176,21,0,0.455,
292,0.005,0.75,50.0,45.0,10292,0.01167,0.19585,0.11668,22,0,0.455,
293,0.005,0.75,50.0,45.0,20293,0.01167,0.21178,0.11183,23,0,0.455,
294,0.005,0.75,50.0,90.0,294,0.01286,0.18816,0.10532,17,0,0.4361,
295,0.005,0.75,50.0,90.0,10295,0.01286,0.20134,0.11549,22,0,0.4547,
296,0.005,0.75,50.0,90.0,20296,0.01286,0.21297,0.02424,25,1,0.675,
297,0.005,0.75,55.0,0.0,297,9.765625e-06,,,0,0,,no_grasps
298,0.005,0.75,55.0,0.0,10298,9.765625e-06,,,0,0,,no_grasps
299,0.005,0.75,55.0,0.0,20299,9.765625e-06,,,0,0,,no_grasps
300,0.005,0.75,55.0,45.0,300,0.01064,0.21239,0.11936,20,0,0.457,
301,0.005,0.75,55.0,45.0,10301,0.01064,0.2194,0.11571,20,0,0.436,
302,0.005,0.75,55.0,45.0,20302,0.01064,0.2176,0.11367,28,0,0.455,
303,0.005,0.75,55.0,90.0,303,0.01181,0.23689,0.10949,21,0,0.4606,
304,0.005,0.75,55.0,90.0,10304,0.01181,0.18294,0.10191,18,0,0.4602,
305,0.005,0.75,55.0,90.0,20305,0.01181,0.20789,0.09436,19,0,0.436,
